date,symbol,direction,quantity,price,commission,portfolio_value
2021-11-16,NVDA,1,16586,30.14429473876953,499.9732725372315,1000000.0
2021-11-17,NVDA,1,6738,29.204124450683594,196.77739054870605,983906.3623292694
2021-11-19,NVDA,1,3251,32.9208869934082,107.02580361557007,1070399.3544852296
2021-11-22,NVDA,1,3270,31.893888473510742,104.29301530838013,1042999.8430153389
2021-11-24,NVDA,1,1631,32.61048889160156,53.18770738220215,1064282.489477951
2021-12-02,NVDA,-1,16327,32.06748580932617,523.5658408088684,1047137.7367528686
2021-12-06,NVDA,-1,33854,29.982288360595703,454.2016863746643,1015025.5147612419
2021-12-20,NVDA,1,5500,27.668508529663086,152.17679691314697,1014571.3130748672
2021-12-30,NVDA,-1,17348,29.532108306884766,162.4265956878662,1024668.9350526733
2022-01-11,NVDA,1,3689,27.76633071899414,102.42999402236939,1024506.5084569855
2022-01-13,NVDA,-1,19222,26.52659034729004,97.85659179115295,1019830.6762317467
2022-03-30,NVDA,1,18443,27.644271850585938,509.84330574035647,1019732.8196399555
2022-03-31,NVDA,1,18571,27.240934371948242,505.8913922214508,1011784.2232157001
2022-04-25,NVDA,-1,37164,19.8691349029541,735.4361592979432,738418.5462781296
2022-08-05,NVDA,1,3890,18.961647033691406,73.76080696105957,737683.1101188317
2022-08-08,NVDA,1,4125,17.767370223999023,73.29040217399597,732963.6125221673
2022-08-09,NVDA,1,4262,17.06138801574707,72.71563572311402,727231.8747208539
2022-08-10,NVDA,1,20462,18.0709285736084,369.76734047317507,739553.2885139943
2022-08-11,NVDA,1,6146,17.916154861450195,110.1126877784729,734116.3846111738
2023-01-11,NVDA,-1,20610,15.986787796020508,329.48769647598266,658982.8335841618
2023-01-17,NVDA,-1,7799,17.686279296875,137.93529223632814,689711.5530658017
2023-01-18,NVDA,-1,19761,17.361568450927734,181.87979109191895,686171.9469514218
2023-01-27,NVDA,1,5057,20.346914291381836,102.89434557151795,685990.0671603299
2023-01-30,NVDA,1,3550,19.14498519897461,67.96469745635986,679809.017394455
